Ferme;Regie;Latitude;Longitude;Municipalite;Champs;Annee_implantation;Annee_labo;Variete;Etat;Rendement_lbs_par_ac;Rendement_plus1_lbs_par_ac;;Foliaire_Azote_%;Foliaire_Phosphore_%;Foliaire_Potassium_%;Foliaire_Magnesium_%;Foliaire_Calcium_%;Foliaire_Bore_ppm;T-Soufre (?);Foliaire_Cuivre_ppm;Foliaire_Zinc_ppm;Foliaire_Manganese_ppm;Foliaire_Fer_ppm;Foliaire_Aluminium_ppm;Foliaire_Sodium_%;T-Molybdene (?);Sol_pH_eau;Sol_pH_tampon;Sol_Phosphore_kg_par_ha);Sol_Potassium_kg_par_ha;Sol_Magnesium_kg_par_ha;Sol_Calcium_kg_par_ha;Sol_Aluminium_ppm;Sol_Matiere_organique_%;Sol_Zinc_ppm;Sol_Cu_ppm;Sol_Bore_ppm;Sol_Manganese_ppm;Sol_Fer_ppm;Sol_Sodium_kg_par_ha;Dose_N_lbs_par_ac;Dose_P2O5_lbs_par_ac;Dose_K2O_lbs_par_ac;Dose_MgO_lbs_par_ac;Dose_SO3_lbs_par_ac;Dose_Ca_lbs_par_ac;Dose_Cl_lbs_par_ac;Dose_Zn_lbs_par_ac;Dose_Cu_lbs_par_ac;Dose_B_lbs_par_ac;Dose_Fe_lbs_par_ac;Dose_Mn_lbs_par_ac;Dose_Mo_lbs_par_ac
Nature Canneberge;Biologique;46,1707;71,5939;Saint-Louis de Blandford ;A01;2005;2020;Stevens;P;11020,72428;;;1,1;0,15;0,5;0,25;1,17;43,1;;3,6;28,9;955,5;346,9;84;0,0075;;;;;;;;;;;;;;;;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1708;71,5941;Saint-Louis de Blandford ;A02;2005;2020;Stevens;P;15362,79066;;;1;0,13;0,49;0,24;1,16;43,5;;3,7;27,3;797,4;397,8;89;0,0075;;5;6,3;220;44;30;346;1008;1,1;0,9;2,41;0,4;2,7;158,34;44;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,171;71,5943;Saint-Louis de Blandford ;A03;2005;2020;Stevens;P;15637,58338;;;1,1;0,12;0,48;0,24;1,24;45,3;;3,8;29,4;647,2;329,6;87;0,01;;;;;;;;;;;;;;;;48;35;87,5;5;203,1;63;0;0,4;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1711;71,5945;Saint-Louis de Blandford ;A04;2006;2020;Stevens;P;12099,41373;;;1,1;0,12;0,51;0,24;1,07;36,3;;3,5;24,3;528,4;361,2;84;0,01;;4,8;6,5;152;58;27;231;925;1;1,1;2,02;0,3;1,5;132,95;50;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1712;71,5947;Saint-Louis de Blandford ;A05;2006;2020;Stevens;P;11512,27897;;;1;0,12;0,49;0,23;1,11;40;;3,2;23,8;630,4;311,1;74;0,01;;;;;;;;;;;;;;;;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1653;72,0001;Saint-Louis de Blandford ;B01;2005;2020;Stevens;P;10545,36992;;;1;0,11;0,53;0,21;1,12;33,6;;3,7;25,3;393,9;203,8;70;0,0075;;;;;;;;;;;;;;;;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1655;72,0003;Saint-Louis de Blandford ;B02;2005;2020;Stevens;P;18072,53271;;;1;0,11;0,46;0,21;1,18;32,1;;2,9;21,9;381,3;231,1;73;0,01;;4,8;6,2;218;67;31;258;902;1,4;1,9;3,07;0,5;1,5;169,99;61;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1656;72,0005;Saint-Louis de Blandford ;B03;2005;2020;Pilgrim;P;12554,84786;;;1;0,12;0,45;0,22;1,11;32,8;;3,6;27,9;538,6;240,4;76;0,02;;;;;;;;;;;;;;;;43,2;31,5;85;4,5;203,1;56,7;0;0,36;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1658;72,0007;Saint-Louis de Blandford ;B04;2016;2020;Mullica Queen;S;0;;;2,1;0,23;0,8;0,18;0,77;42,7;;7,3;37,5;199,3;132,5;84;0,03;;5,2;6,3;104;41;25;197;872;0,6;0,7;1,04;0,5;1,5;118,85;48;216;157,5;175;22,5;383,1;283,5;0;1,8;1,25;0;0;0;0
Nature Canneberge;Biologique;46,1701;72,001;Saint-Louis de Blandford ;B05;2006;2020;Stevens;P;13860,44988;;;1;0,13;0,47;0,24;1,23;32,3;;3,7;26,9;402;263,3;80;0,02;;;;;;;;;;;;;;;;38,4;28;82,5;4;203,1;50,4;0;0,32;1,25;0;0;0;0
