ID;Block_no;Treatment_no;Farm;Research_Organization;Production_type;Champs;Region;Municipality;Annee;Lat;Long;Variete;Cultivar_purity_perc;Year_of_stand_establishment;Nutrient_tested;Regie;Fertilizer_formula;Fertilizer_21-0-0;Fertilizer_8-0-0;Fertilizer_6-1-1;Fertilizer_24-5-11;Fertilizer_14-14-14;Fertilizer_13-13-13;Fertilizer_11-52-0;Fertilizer_11-38-0;Fertilizer_10-10-20;Fertilizer_5-10-30;Fertilizer_4,9-2,7-3,5;Fertilizer_2-6-42;Fertilizer_0-46-0;Fertilizer_0-13-0;Fertilizer_0-0-62;Fertilizer_0-0-56;Fertilizer_0-0-50;Fertilizer_0-0-22-11;Fertilizer_0-0-0-21;Fertilizer_0-0-0-25;Fertilizer_0-0-0-90;Fertilizer-name_N;Fertilizer-name_P;Fertilizer-name_K;Fertilizer-name_Mg;Fertilizer-name_Ca;Fertilizer-name_Cu;Fertilizer-name_B;S_Fert;N_Fert;P_Fert;K_Fert;Mg_Fert;Cu_Fert;B_Fert;Zn_Fert;S_elementaire_Fert;S_SCU_Fert;S_Fert;Ca_Fert;Fertilizer_date_application1_S;Fertilizer_date_application2_S;Fertilizer_date_application3_S;Fertilizer_date_application4_Elements_mineurs_S;Fertilizer_date_application1_N;Fertilizer_date_application2_N;Fertilizer_date_application1_NPK;Fertilizer_date_application2_NPK;Fertilizer_date_application3_NPK;Fertilizer_date_application4_NPK;Fertilizer_date_application5_NPK;Fertilizer_date_application6_NPK;Fertilizer_date_application7_NPK;Fertilizer_date_application8_NPK;Fertilizer_date_application1_K;Fertilizer_date_application2_K;Fertilizer_date_application3_K;Fertilizer_date_application4_K;Method_CSN_drying_T_celcius_leaf_fruit;Method_CSN_leaf_fruit;Method_extraction_leaf_fruit;Method_quantification_leaf_fruit;Method_CSN.drying_T_celcius_soil;Method_CNS_grinding_0.02mm;Method_C_soil;Method_N_soil;Method_quantification_Nutrients_Mehlich3_soil;Methode_quantification_Oxalate_soil;Leaf_Date_collection_stage1;Leaf_C_stage1_g_kg;Leaf_S_stage1_g_kg;Leaf_N_stage1_g_kg;Leaf_P_stage1_g_kg;Leaf_K_stage1_g_kg;Leaf_Ca_stage1_g_kg;Leaf1_Mg_stage_g_kg;Leaf_B_stage1_g_kg;Leaf_Cu_stage1_g_kg;Leaf_Zn_stage1_g_kg;Leaf_Mn_stage1_g_kg;Leaf_Fe_stage1_g_kg;Leaf_Al_stage1_g_kg;Leaf_Si_stage1_g_kg;Leaf_date_harvest_stage2;Leaf_C_CNS_stage2_g_kg;Leaf_S_CNS_stage2_g_kg;Leaf_S_stage2_g_kg_ICP;Leaf_N_stage2_g_kg;Leaf_P_stage2_g_kg;Leaf_K_stage2_g_kg;Leaf_Mg_stage2_g_kg;Leaf_Ca_stage2_g_kg;Leaf_B_stage2_g_kg;Leaf_Cu_stage2_g_kg;Leaf_Zn_stage2_g_kg;Leaf_Mn_stage2_g_kg;Leaf_Fe_stage2_g_kg;Leaf_Al_stage2_g_kg;Leaf_Na_stage2_g_kg;Leaf_Si_stage2_g_kg;Flower_date_harvest;Flower_Nb_upright_collection;Flower_Nb_Flower_collection;Fruit_date_harvest;Fruit_C_g_kg;Fruit_S_g_kg;Fruit_S_g_kg_ICP;Fruit_N_g_kg;Fruit_P_g_kg;Fruit_K_g_kg;Fruit_Ca_g_kg;Fruit_Mg_g_kg;Fruit_B_g_kg;Fruit_Cu_g_kg;Fruit_Zn_g_kg;Fruit_Mn_g_kg;Fruit_Fe_g_kg;Fruit_Al_g_kg;Fruit_Si_g_kg;Fruit_Tacy_labo_mg_Anth_100g;Fruit_Tacy_image_mg_Anth_100g_515nm;Fruit_Brix_degreeBrix;Fruit_Firmness_N_mm;Fruit_weight_g;Fruit_yield_Mg_ha;Yield class;Fruit_moisture_berry_perc;Date_harvest_Fruit_upright;Fruiting_upright_Nb_m2;Nb_Fruit_m2;Soil_sampling_date;Soil_pH_CaCl2_spring;Soil_pH_water_spring;PH_buffer_spring;Soil_organic_carbon_method;Soil_organic_carbon_OM_mg_kg;Soil_organic_carbon_totC_mg_kg;Soil_S_spring_mg_kg;Soil_N_spring_mg_kg;Soil_Ca_Mehlich3_spring_mg_kg;Soil_Mg_Mehlich3_spring_mg_kg;Soil_K_Mehlich3_spring_mg_kg;Soil_B_Mehlich3_spring_mg_kg;Soil_Cu_Mehlich3_spring_mg_kg;Soil_Zn_Mehlich3_spring_mg_kg;Soil_Fe_Mehlich3_spring_mg_kg;Soil_Mn_Mehlich3_spring_mg_kg;Soil_Al_Mehlich3_spring_mg_kg;Soil_P_Mehlich3_spring_mg_kg;Soil_S_Mehlich3_spring_mg_kg;Soil_Si_Mehlich3_spring_mg_kg;Soil_Na_Mehlich3_spring_mg_kg;Soil_Ca_OX_spring_mg_kg;Soil_Mg_OX_spring_mg_kg;Soil_Fe_OX_spring_mg_kg;Soil_Mn_OX_spring_mg_kg;Soil_Al_OX_spring_mg_kg;Soil_P_OX_spring_mg_kg;Soil_Si_OX_spring_mg_kg;Soil_P_OX_spring_mmol_kg;Soil_Fe_OX_spring_mmol_kg;Soil_Al_OX_spring_mmol_kg;Soil_Date_harvest_autumn;Soil_pH_CaCl2_autumn;Soil_pH_buffer_autumn;Soil_C_autumn_perc;Soil_S_autumn_perc;Soil_N_autumn_perc;Soil_Ca_Mehlich3_autumn_mg_kg;Soil_Mg_Mehlich3_autumn_mg_kg;Soil_K_Mehlich3_autumn_mg_kg;Soil_B_Mehlich3_autumn_mg_kg;Soil_Cu_Mehlich3_autumn_mg_kg;Soil_Zn_Mehlich3_autumn_mg_kg;Soil_Fe_Mehlich3_autumn_mg_kg;Soil_Mn_Mehlich3_autumn_mg_kg;Soil_Al_Mehlich3_autumn_mg_kg;Soil_P_Mehlich3_autumn_mg_kg;Soil_S_Mehlich3_autumn_mg_kg;Soil_Na_Mehlich3_autumn_mg_kg;Soil_bulk density_0_10cm_g_cm3;Soil_bulk density_10_20cm_g_cm3;Soil_bulk density_20_30cm_g_cm3;Soil_texture;Soil_Sand_tot_perc;Soil_clay_tot_perc;Soil_sand_very coarse_1mm_perc;Soil_sand_coarse_0.5mm_perc;Soil_sand_medium_0.25mm_perc;Soil_sand_fine_0.1mm_perc;Soil_sand.very_fine_0.05mm_perc;Soil_series;Precipitations_total_May_mm;Precipitations_total_June_mm;Precipitations_total_July_mm;Precipitations_total_August_mm;Precipitations_total_September_mm;Precipitations_total_October_mm;Temperature_mean_air_May_celcius;Temperature_mean_air_June_celcius;Temperature_mean_air_July_celcius;Temperature_mean_air_August_celcius;Temperature_mean_air_September_celcius;Temperature_mean_air_October_celcius;NDVI;Comments
2014_001;1;N0;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;;A;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;0;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;512,11;0,3462;7,3844;0,967;4,409;6,023;1,371;0,0333;0,003;0,012;0,191;0,277;0,227;;09-09-2014;513,06;0,5878;;7,697;0,911;6,898;1,91;6,923;0,055;0,004;0,013;0,172;0,11;0,148;;;2014-07-06;144;558;2014-10-01;426,59;0;;1,0473;0,597;6,664;0,537;0,395;;0,00288;0,0761;0,008514;0,029083;0;;42,89863;;;;1,37;37,12;Low yield;87,77;2014-08-16;80;134;2014-06-15;4,02;;;Ct;;9694,1;689;453,5;18,14745149;4,497695556;13,93575097;;1,995277776;0,46457944;303,292533;0,455123578;1514,432645;97,55474158;;;;27,60412918;19,73950034;3,206966888;1705,925112;2212,81913;155,6744567;440,2401036;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;93,24490052;3,304420308;1,274900398;7,450199203;41,55378486;36,41434263;4,820717131;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_002;2;N0;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;;A;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;0;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;510,73;0,3688;8,407;1,125;5,126;6,687;1,498;0,0273;0,004;0,012;0,141;0,202;0,187;;09-09-2014;504,02;0,7083;;8,2167;0,974;5,29;2,249;8,434;0,0432;0,003;0,016;0,144;0,122;0,137;;;2014-07-06;133;556;2014-10-01;417,5;0,0838;;3,0382;0,811;6,742;0,631;0,492;;0,003567;0,070911;0,008435;0,030454;0;;39,38489;;;;1,4;21,72;Low yield;87,77;2014-08-16;115;230;2014-06-15;4,1;;;Ct;;11620;432;552,2;10,21614363;2,886950042;7,976029114;;0,95118522;0,237118476;172,2466468;0,243093061;1502,145927;67,72090393;;;;24,045886;14,14312373;1,507958605;650,1124337;2166,03586;64,9928563;320,6236783;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;92,31774938;3,948667325;1,322803554;6,752221125;40,73050346;38,67719645;4,076999013;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_003;1;N15;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;15;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;511,55;0,7041;7,8059;0,732;11,422;6,894;1,284;0,0276;0,045;0,132;0,546;0,294;0,248;;09-09-2014;517,69;0,7514;;9,8356;0,905;5,057;2,279;8,233;0,0674;0,003;0,015;0,175;0,208;0,209;;;2014-07-06;84;307;2014-10-01;456,07;0,0966;;2,7065;0,672;6,755;0,621;0,492;;0,002526;0,061148;0,007629;0,033687;0;;37,48015;;;;1,46;48,79;High yield;87,77;2014-08-16;65;131;2014-06-15;4,08;;;Ct;;11375;3620;1321,9;14,05293418;2,748382203;9,390530075;;1,201067698;0,351705511;217,6995119;0,349678328;1688,731194;73,04366915;;;;28,69507815;17,06470977;3,566213346;1367,813405;2568,699373;182,907316;391,4883889;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;93,24490052;3,304420308;1,274900398;7,450199203;41,55378486;36,41434263;4,820717131;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_004;2;N15;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;15;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;508,88;0,6235;7,4303;0,81;8,441;6,478;1,335;0,0222;0,036;0,14;0,323;0,223;0,229;;09-09-2014;515,98;0,8619;;9,1829;0,959;5,253;2,317;8,107;0,0497;0,003;0,016;0,16;0,167;0,188;;;2014-07-06;141;580;2014-10-01;395,47;0;;1,8351;0,65;6,137;0,539;0,454;;0,001984;0,060353;0,007073;0,026845;0;;50,26478;;;;1,53;28,83;Low yield;87,77;2014-08-16;114;255;2014-06-15;4,08;;;Ct;;14093;614;268,8;19,33200142;4,903689536;12,88781861;;0,68715271;0,416990646;255,4185509;0,515448953;1647,915057;89,48339602;;;;28,98641017;14,85111217;1,955865971;883,7960233;2326,05724;104,4099444;303,3322628;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;92,31774938;3,948667325;1,322803554;6,752221125;40,73050346;38,67719645;4,076999013;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_005;1;N30;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;30;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;508,05;0,5173;7,8163;0,873;8,001;6,887;1,45;0,0274;0,033;0,115;0,259;0,285;0,268;;09-09-2014;516,66;0,8711;;10,223;0,903;4,78;2,278;8,213;0,0543;0,004;0,014;0,237;0,151;0,181;;;2014-07-06;68;207;2014-10-01;429,69;0;;2,2964;0,763;6,661;0,619;0,531;;0,002819;0,068984;0,010439;0,026159;0,003;;77,93001;;;;1,57;55,04;High yield;87,77;2014-08-16;70;144;2014-06-15;4,06;;;Ct;;10452;420;364,3;15,66353921;4,139882243;13,37893211;;1,240158938;0,47180968;302,3941224;0,397720084;1443,643714;127,6328433;;;;23,44481628;15,32069155;2,315658471;1054,765597;2078,204918;136,3468139;323,6791076;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;93,24490052;3,304420308;1,274900398;7,450199203;41,55378486;36,41434263;4,820717131;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_006;2;N30;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;30;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;506,06;0,4857;7,8875;0,846;7,076;7,459;1,463;0,0229;0,029;0,114;0,234;0,227;0,209;;09-09-2014;512,71;0,967;;10,4;1,008;4,761;2,442;9,037;0,048;0,003;0,014;0,205;0,112;0,144;;;2014-07-06;184;710;2014-10-01;398,54;0;;2,2632;0,708;6,695;0,665;0,516;;0,003224;0,07392;0,008056;0,071936;0;;40,70272;;;;1,56;38,84;Low yield;87,77;2014-08-16;111;247;2014-06-15;4,13;;;Ct;;11342;632;372,4;13,23761502;3,483709232;9,171777595;;0,723783468;0,370004535;202,159054;0,313004635;1409,746261;87,04605868;;;;26,11807823;12,72231894;1,839042593;872,4979905;2190,659851;85,0937298;362,718824;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;92,31774938;3,948667325;1,322803554;6,752221125;40,73050346;38,67719645;4,076999013;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_007;1;N45;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;509,43;0,3732;7,0188;0,737;6,485;7,66;1,474;0,023;0,027;0,12;0,301;0,338;0,308;;09-09-2014;513,75;0,8142;;11,191;0,958;4,807;2,3;8,71;0,0547;0,004;0,014;0,277;0,248;0,175;;;2014-07-06;144;547;2014-10-01;431,4;0;;1,3277;0,778;6,77;0,572;0,515;;0,003121;0,062511;0,009246;0,053189;0,002;;29,17885;;;;1,56;59,89;High yield;87,77;2014-08-16;76;177;2014-06-15;4,09;;;Ct;;11617;713;519,4;14,04261975;4,196114373;11,30866966;;0,662655785;0,425911355;258,7778861;0,352821793;1368,544192;95,13658595;;;;26,57294479;11,45299879;2,032102824;917,8845865;1973,390214;70,52003835;303,0433999;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;93,24490052;3,304420308;1,274900398;7,450199203;41,55378486;36,41434263;4,820717131;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_008;2;N45;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;45;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;509,44;0,375;7,6555;0,887;5,982;7,423;1,455;0,0214;0,022;0,079;0,226;0,201;0,181;;09-09-2014;510,33;0,7662;;10,718;0,973;4,726;2,265;8,178;0,0427;0,003;0,014;0,171;0,17;0,179;;;2014-07-06;130;509;2014-10-01;454,91;0;;1,3835;0,71;7,108;0,52;0,486;;0,002032;0,04808;0,005708;0,025835;0;;40,91456;;;;1,44;39,98;Low yield;87,77;2014-08-16;100;228;2014-06-15;3,97;;;Ct;;9473,8;631;436,7;11,90354562;3,74408696;8,055929475;;0,592062591;0,270989004;289,1800062;0,309791747;1401,39898;103,7938037;;;;25,60098864;17,47123579;2,252665516;1441,176884;2018,145925;176,5549101;376,7757245;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;92,31774938;3,948667325;1,322803554;6,752221125;40,73050346;38,67719645;4,076999013;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_009;1;N60;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;60;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;511,26;0,3438;7,8297;0,812;6,206;7,371;1,484;0,0201;0,022;0,114;0,219;0,296;0,288;;09-09-2014;511,18;0,9672;;11,826;0,978;5,089;2,275;8,747;0,0673;0,003;0,014;0,218;0,146;0,188;;;2014-07-06;104;321;2014-10-01;456,77;0;;2,5488;0,548;6,958;0,435;0,419;;0,001227;0,043002;0,002966;0,041055;0,021;;32,82017;;;;1,51;55,8;High yield;87,77;2014-08-16;106;229;2014-06-15;4,11;;;Ct;;10297;1590;657,3;19,99149463;3,574784778;8,093105094;;0,684207542;0,285257972;182,1090554;0,454424851;1476,238986;92,52945811;;;;23,33539577;11,50392096;1,6395344;751,0808614;2156,771836;93,81354448;372,111667;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;93,24490052;3,304420308;1,274900398;7,450199203;41,55378486;36,41434263;4,820717131;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
2014_010;2;N60;Atocas Blanford;Universite Laval;Organic;A9;Centre_du_Quebec;St_Louis_Blanford;2014;46,237854;-72,03705;Stevens;100;2004;N;Conv;21-0-0;P;A;A;A;A;A;A;A;A;A;A;A;P;A;A;A;P;P;P;P;A;Ammonium sulfate;Phosphate Trisodique Poudre;Potassium sulfate;Sul_Po_Mag;;Copper sulfate;Soilubor;;60;15;80;12;2;1;;0;0;31,0468;;;;;2014-06-17;;;2014-06-26;2014-07-02;2014-07-08;2014-07-16;;;;;;;;;65;Ancien CSN Leco;AcideNitrique_Perchlorique;ICP_Foresterie;105;A;Ancien CSN Leco;Ancien CSN Leco;ICP_Foresterie;ICP_Foresterie;15-06-2014;501,36;0,4424;7,6803;0,77;6,057;7,786;1,481;0,0217;0,023;0,149;0,221;0,271;0,27;;09-09-2014;518,37;1,039;;12,232;1,047;4,653;2,372;8,577;0,0487;0,003;0,014;0,203;0,106;0,146;;;2014-07-06;101;341;2014-10-01;461,1;0,1269;;2,5889;0,625;7,041;0,506;0,473;;0,001782;0,04804;0,004463;0,039665;0,023;;45,45049;;;;1,11;27,45;Low yield;87,77;2014-08-16;111;270;2014-06-15;4,02;;;Ct;;12622;758;396,6;14,75266722;3,676131091;11,51825464;;0,885562608;0,456287159;163,6142165;0,34072209;1562,594775;100,5989875;;;;26,01839568;14,68884627;1,806631592;670,3180719;2297,285475;136,7806777;259,9529917;;;;;;;;;;;;;;;;;;;;;;0,888408802;1,417911374;1,376441812;Sable;92,31774938;3,948667325;1,322803554;6,752221125;40,73050346;38,67719645;4,076999013;Saint-Judes;48,2;105,6;86;133,4;56;105,2;11,4;17,2;19,9;17,8;13,2;8,8;;
