"";"Champs";"Regie";"Soil_type";"Variete";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"1";"B01";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;21226,0191846523;0,405063291139241;0;0;30;0;10,8;0;0;0;0;0;4,74;12;122;240,8;1090;68,8;21,8;0,92;3,128;1,96;0,48;251,344;1,1;0,13;0,59;1,04;0,21;0,00388;0,00036;0,00878;0,07815;0,00206;0,0069
"2";"B02";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;14689,4206549118;0,493150684931507;0;0;30;0;10,8;0;0;0;0;0;4,76;12;114,2;183,4;946,8;66;19;0,78;2,9;1,76;0,46;255,446;1,1;0,13;0,61;0,98;0,21;0,00415;0,00034;0,00704;0,07373;0,00193;0,0058
"3";"B03";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;11653,3073929961;0,313953488372093;0;0;30;0;10,8;0;0;0;0;0;4,76;12;124,6;205;983,2;65,6;20,8;0,88;2,796;1,76;0,48;236,326;1,1;0,13;0,58;1,06;0,2;0,00392;0,00036;0,00669;0,08916;0,00232;0,0053
"4";"B04";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;9566,14785992218;0,573529411764706;0;0;30;0;280,8;0;0;0;0;0;5;12;557;150,4;767,4;60,6;50,8;0,88;2,308;3,78;0,52;206,004;1,2;0,13;0,58;1,04;0,21;0,0038;0,00037;0,00692;0,08854;0,00219;0,0056
"5";"B05";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;13552,3676880223;0,375;0;0;30;0;280,8;0;0;0;0;0;4,76;12;114,2;185,2;1003,2;69,2;19;0,8;2,988;1,76;0,46;293,94;1,1;0,14;0,65;0,93;0,21;0,00316;0,00036;0,00569;0,06328;0,00214;0,005
"6";"C02";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;25236,4719904648;0,93;0;0;25;0;459;0;0;0;0;0;4,72;11;103,6;168,2;1062;61,6;14,8;0,54;2,746;2;0,48;228,56;1,2;0,13;0,61;1,09;0,21;0,00401;0,00037;0,00692;0,08195;0,00214;0,0078
"7";"C04";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;29803,1818181818;0,96;0;0;25;0;459;0;0;0;0;0;4,58;11;119;213;1297,2;75,6;18,2;0,68;3,324;2,14;0,48;262,304;1,1;0,12;0,65;1,02;0,22;0,00479;0,00033;0,00431;0,02635;0,00159;0,0038
"8";"C05";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;31411,0144927536;0,95;0;0;25;0;459;0;0;0;0;0;4,76;11;524,4;155,4;1000,2;68,8;54,8;0,8;2,324;2,82;0,62;260,358;1,1;0,12;0,57;1,12;0,22;0,00328;0,00035;0,00636;0,05619;0,00205;0,0067
"9";"EO01";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;27887,0588235294;0,62;0;0;35;0;192,6;0;0;0;0;0;4,58;23;108,6;238,2;1321,4;67,6;17,8;0,66;3,318;2,22;0,46;252,944;1,1;0,13;0,61;0,92;0,21;0,0023;0,00032;0,00692;0,04969;0,00198;0,0049
"10";"S03";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;37118,0392156863;0,68;0;0;25;0;279;0;0;0;0;0;4,76;8;103,8;184,8;1179;63,8;15,2;0,54;2,818;2,34;0,54;223,822;1,2;0,13;0,63;1,02;0,21;0,00321;0,00039;0,01189;0,04938;0,00209;0,0085
"11";"S04";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;25360,9259259259;0,44;0;0;35;0;12,6;0;0;0;0;0;4,58;22;108,6;238,2;1321,4;67,6;17,8;0,66;3,318;2,22;0,46;252,944;1,3;0,14;0,66;0,84;0,22;0,00309;0,00029;0,00623;0,04435;0,00154;0,0049
"12";"S06";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;19920;0,32;0;0;35;0;12,6;0;0;0;0;0;4,64;19;108,4;218,6;1173,6;65,2;17,2;0,62;3,15;2,02;0,48;256,346;1,2;0,14;0,72;0,74;0,21;0,00338;0,00032;0,00478;0,04715;0,00163;0,0045
"13";"S08";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;15288,7179487179;0,61;0;0;35;0;192,6;0;0;0;0;0;4,64;15;108,4;218,6;1173,6;65,2;17,2;0,62;3,15;2,02;0,48;256,346;1,2;0,15;0,7;0,95;0,21;0,00571;0,00032;0,00668;0,04585;0,00169;0,0076
"14";"T01";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;20645,4385964912;0,779;0;0;35;0;462,6;0;0;0;0;0;4,68;12;107,6;223,2;1235,4;72,4;16,8;0,64;3,102;2,28;0,52;242,984;1,1;0,13;0,69;0,97;0,19;0,00617;0,00028;0,0061;0,0304;0,00143;0,0066
"15";"T02";"Conventional";"Sand";"Stevens";17,4342541436464;388,7;23;21723,5593220339;0,868;0;0;35;0;462,6;0;0;0;0;0;4,72;10;107,6;209;1188,2;73,6;16,8;0,62;3,112;2,44;0,54;236,606;1,1;0,12;0,75;0,95;0,17;0,0055;0,00035;0,00849;0,02328;0,00125;0,0077
"16";"01";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;9196;0,606;12;8,75;90,25;9,35;220,8;15,75;0;0;0;0;4,54;19,8;296,2;56,2;339,8;48,6;41,2;1,1;1,114;1,9;0,34;279,034;1,1;0,12;0,56;0,9;0,23;0,00242;0,00085;0,02324;0,041;0,00174;0,007
"17";"02";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;9196;0,95;12;8,75;73,75;1,25;204,3;15,75;0;0;0;0;4,9;19,6;234;203;512;40;37;2,1;1,49;2;0,3;449,5;1,2;0,13;0,77;0,98;0,27;0,00304;0,00124;0,04291;0,05948;0,00207;0,0079
"18";"03";"Organic";"Organic";"Stevens";13,893956043956;390,1;49;6130;0,804;9,6;7;97,5;1;213,3;12,6;0;0;0;0;4,66;19,4;335,6;78,6;374,8;47,4;42,8;1,5;1,26;1,98;0,34;329,064;1,2;0,13;0,61;1,1;0,3;0,00388;0,00084;0,03113;0,04837;0,00222;0,0076
"19";"04";"Organic";"Organic";"Ben Lear";13,893956043956;390,1;49;9196;0,624;16,8;12,25;92,75;9,85;220,8;22,05;0;0;0;0;5;21,6;321;93;265;45;45;1,8;1,79;2;0,5;366,2;1,2;0,13;0,57;0,78;0,23;0,00218;0,00088;0,0113;0,0264;0,00157;0,0048
"20";"05";"Organic";"Organic";"Ben Lear";13,893956043956;390,1;49;9196;0,748;16,8;12,25;101,25;1,75;213,3;22,05;0;0;0;0;4,78;23,2;291,6;104,2;301,2;49;43,8;1,48;1,554;1,96;0,44;364,446;1,1;0,13;0,56;0,99;0,24;0,0031;9e-04;0,03521;0,04602;0,00176;0,0069
