"";"Champs";"Regie";"Soil_type";"mean_temp";"total_precip";"frozen";"Rendement";"Pureté";"N_Fert";"P_Fert";"K_Fert";"Mg_Fert";"S_Fert";"Ca_Fert";"Zn_Fert";"Cu_Fert";"B_Fert";"Mn_Fert";"PhEau";"Age";"Ca_Sol (ppm)";"P_Sol (ppm)";"Al_Sol (ppm)";"K_Sol (ppm)";"Mg_Sol (ppm)";"Zn_Sol (ppm)";"Cu_Sol (ppm)";"Mn_Sol (ppm)";"B_Sol (ppm)";"Fe_Sol (ppm)";"N_Fol (%)";"P_Fol (%)";"K_Fol (%)";"Ca_Fol (%)";"Mg_Fol (%)";"B_Fol (%)";"Cu_Fol (%)";"Fe_Fol (%)";"Mn_Fol (%)";"Zn_Fol (%)";"Al_Fol (%)"
"1";"01";"Organic";"Sand";13,6818681318681;9125,2;112;18460,3318961039;1;28,656;20,895;88,177;5,009;245,516;37,611;0;2,024;0;0;4,6;15,8;133;325;1548;91;31;1,6;3,71;2,6;0,6;281,42;1,3;0,11;0,5;1,28;0,28;0,0032;0,00033;0,01264;0,12415;0,0032;0,0112316
"2";"01";"Organic";"Sand";14,1227777777778;8258,6;252;15062;1;38,4;28;91;6;26;50,4;0;2;0;0;4,58;17,8;157,2;335,6;1451,6;88,4;28,6;1,28;3,462;2,38;0,5;291,142;1,1;0,14;0,52;1,22;0,31;0,00275;4e-04;0,01434;0,1181;0,00399;0,0086
"3";"02";"Organic";"Sand";13,6818681318681;9125,2;112;15726,2945898305;1;28,656;20,895;86,177;5,009;244,796;37,611;0;2,024;0;0;4,3;15;198;365;1250;123;42;2,3;5,33;5,7;0,5;363,12;1,2;0,11;0,53;1,26;0,28;0,00323;0,00032;0,01481;0,11763;0,00284;0,0179848
"4";"02";"Organic";"Sand";14,1227777777778;8258,6;252;10138;1;28,8;21;86;5;26;37,8;0;2;0;0;4,52;16,6;156;309,2;1641,4;89;28,6;2,7;4,074;2,9;0,54;290,836;1,1;0,13;0,55;1,03;0,3;0,00243;0,00038;0,01168;0,10896;0,00255;0,0077
"5";"03";"Organic";"Sand";13,6818681318681;9125,2;112;12815,0338309859;0,546666666666667;28,656;20,895;85,177;5,009;239,936;37,611;0;2,024;0;0;4,7;15;154;180;1574;94;29;1,5;3,32;3,2;0,6;326,96;1,1;0,1;0,47;1,15;0,25;0,00305;0,00032;0,01226;0,08532;0,00225;0,01241
"6";"03";"Organic";"Sand";14,1227777777778;8258,6;252;15148;0,546666666666667;24;17,5;83,5;4,5;26;31,5;0;2;0;0;4,6;20,4;178,8;270,2;1554,4;97,6;29,2;1,54;3,358;2,54;0,48;286,684;1;0,12;0,54;0,94;0,25;0,00222;0,00035;0,01242;0,08258;0,00206;0,0074
"7";"04";"Organic";"Sand";13,6818681318681;9125,2;112;26608,8504150943;0,914375908666497;56,832;41,44;103,852;7,944;272,876;74,592;0;2,024;0;0;4,9;14,8;100;45;1543;31;15;0,4;0,52;2;0,4;112,21;1,3;0,11;0,44;1;0,21;0,00228;3e-04;0,00903;0,02437;0,00288;0,0132964
"8";"05";"Organic";"Sand";13,6818681318681;9125,2;112;19433,3013333333;0,87012987012987;28,656;20,895;86,177;5,009;267,296;37,611;0;2,024;0;0;4,8;15,4;142;94;1739;53;17;0,8;0,95;2;0,6;183,64;1,1;0,1;0,47;1,27;0,27;0,00338;0,00035;0,00953;0,06226;0,00259;0,0150554
"9";"05";"Organic";"Sand";14,1227777777778;8258,6;252;10167;0,87012987012987;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,64;16,4;183,2;278,4;1512;87,6;25,2;1,28;2,71;2,24;0,54;289,77;1;0,15;0,64;1,01;0,28;0,00277;0,00038;0,0082;0,05843;0,00261;0,0068
"10";"06";"Organic";"Sand";13,6818681318681;9125,2;112;12986,312375;0,835294117647059;43,344;31,605;92,327;6,539;257,756;56,889;0;2,024;0;0;4,8;14,2;100;105;1520;43;15;0,7;0,92;2;0,5;193,85;1;0,12;0,47;1,2;0,25;0,00287;0,00031;0,00906;0,05517;0,00247;0,016174
"11";"06";"Organic";"Sand";14,1227777777778;8258,6;252;17086;0,835294117647059;43,2;31,5;93,5;6,5;26;56,7;0;2;0;0;4,92;16,6;645,2;263,6;1569,2;79,4;40,2;1,58;2,428;2,78;0,48;264,568;1;0,12;0,55;1;0,25;0,0023;0,00038;0,00873;0,04913;0,00217;0,007
"12";"07";"Organic";"Sand";13,6818681318681;9125,2;112;16817,1119616307;0,9875;28,656;20,895;86,177;5,009;249,296;37,611;0;2,024;0;0;4,6;15;127;126;1707;76;22;1,3;2,74;2;0,5;228,9;1,2;0,1;0,48;1,26;0,28;0,00344;0,00033;0,0124;0,08366;0,00285;0,0140638
"13";"07";"Organic";"Sand";14,1227777777778;8258,6;252;15330;0,9875;38,4;28;91;6;26;50,4;0;2;0;0;4,58;16,4;165,4;236,4;1378,2;93;27,8;1,46;2,434;2,22;0,5;270,7;1,1;0,14;0,57;1,12;0,28;0,00251;0,00043;0,01029;0,0696;0,00305;0,0078
"14";"08";"Organic";"Sand";13,6818681318681;9125,2;112;10837,8026666667;0,971014492753623;28,656;20,895;86,177;5,009;251,996;37,611;0;2,024;0;0;4,5;15,6;143;190;1761;78;22;1,3;2,5;2;0,7;285,66;1,1;0,12;0,46;1,37;0,26;0,00331;0,00032;0,01546;0,06805;0,00261;0,0168654
"15";"08";"Organic";"Sand";14,1227777777778;8258,6;252;13511;0,971014492753623;33,6;24,5;88,5;5,5;26;44,1;0;2;0;0;4,54;16,6;165,4;330;1432,6;92,6;26;1,46;3,05;2,2;0,54;281,112;1,1;0,13;0,55;1,24;0,29;0,00262;0,00041;0,01055;0,06314;0,0028;0,0077
"16";"09";"Organic";"Sand";13,6818681318681;9125,2;112;16613,5584780488;0,986301369863014;28,656;20,895;85,177;5,009;260,636;37,611;0;2,024;0;0;4,5;15;139;386;1732;99;27;1,7;2,81;2;0,6;348,67;1,2;0,11;0,43;1,36;0,29;0,00311;0,00037;0,01408;0,09415;0,00323;0,016525
"17";"09";"Organic";"Sand";14,1227777777778;8258,6;252;13706;0,986301369863014;28,8;21;86;5;26;37,8;0;2;0;0;4,58;16,6;145,8;232,6;1612,4;85;23,8;1,42;2,95;2,5;0,54;257,504;1;0,14;0,57;1,17;0,3;0,00288;0,00042;0,01235;0,08503;0,0031;0,0083
"18";"10";"Organic";"Sand";13,6818681318681;9125,2;112;12041,4240205128;1;28,656;20,895;89,177;5,009;271,076;37,611;0;2,024;0;0;4,4;15,6;155;256;1480;79;25;2;3,15;2,4;0,5;309,65;1,2;0,11;0,43;1,31;0,29;0,00316;4e-04;0,00749;0,06249;0,00273;0,0181142
"19";"10";"Organic";"Sand";14,1227777777778;8258,6;252;20955;1;38,4;28;91;6;26;50,4;0;2;0;0;4,54;16,4;171;262,4;1332,8;93,6;28,4;1,6;2,516;2,3;0,5;286,85;1,1;0,13;0,55;1,26;0,3;0,00291;0,00046;0,01151;0,06185;0,00302;0,0083
"20";"11";"Organic";"Sand";13,6818681318681;9125,2;112;15975,5656116505;0,983606557377049;42,672;31,115;93,477;6,469;258,296;56,007;0;2,024;0;0;4,5;14,2;176;269;1762;91;29;1,4;2,42;2,3;0,4;319,02;1,2;0,11;0,47;1,46;0,28;0,00324;0,00042;0,01115;0,08916;0,00349;0,0139218
